
  Obs  Primary_Property_Type  reporting_status  Natural_Gas_Use__kBtu_  Chicago_Energy_Rating  Electricity_Use__kBtu_  ENERGY_STAR_Score  Data_Year  Gross_Floor_Area___Buildings__sq  Total_GHG_Emissions__Metric_Tons  Zip_Code  Year_Built  Site_EUI__kBtu_sq_ft_  Source_EUI__kBtu_sq_ft_
    1  Multifamily Housing    Submitted Data                   1250000                      3                  980000                 62       2019                            185000                               410     60601        1978                   58.2                    102.4
    2  Office                 Submitted Data                   2100000                      4                 1650000                 74       2019                            240000                               520     60602        1985                   63.1                    110.8
    3  Retail Store           Submitted Data                    540000                      2                  410000                 45       2019                             72000                               180     60603        1995                   71.4                    120.5
    4  K-12 School            Submitted Data                    980000                      3                  720000                 55       2019                            150000                               300     60604        1965                   49.8                     88.3
    5  Hospital               Submitted Data                   3200000                      2                 4100000                 38       2019                            310000                              1450     60605        1972                  140.2                    255.6
    6  Multifamily Housing    Submitted Data                   1100000                      4                  890000                 70       2020                            165000                               360     60606        1990                   52.6                     95.1
    7  Office                 Estimated Data                   1900000                      3                 1550000                 60       2020                            225000                               480     60607        1980                   60.5                    105.9
    8  Retail Store           Submitted Data                    610000                      3                  455000                 58       2020                             80000                               195     60608        2001                   68.9                    115.2
    9  K-12 School            Submitted Data                   1020000                      4                  760000                 66       2020                            158000                               315     60609        1968                   48.1                     86.7
   10  Hospital               Submitted Data                   3350000                      1                 4300000                 30       2020                            325000                              1520     60610        1971                  145.7                    262.3

... 17 more observations (showing 10 of 27)

